"model","Q50","Q5.5","Q94.5","Q2.5","Q97.5","performance","data","outcome"
"model1",0.846153846153846,0.797570850202429,0.890688259109312,0.789473684210526,0.898785425101215,"sensitivity","training","STBBI"
"model2",0.850202429149798,0.801619433198381,0.894736842105263,0.793522267206478,0.902834008097166,"sensitivity","training","STBBI"
"model3",0.854251012145749,0.809716599190283,0.894736842105263,0.797570850202429,0.902834008097166,"sensitivity","training","STBBI"
"model4",0.8582995951417,0.809716599190283,0.894736842105263,0.801619433198381,0.902834008097166,"sensitivity","training","STBBI"
"model5",0.8582995951417,0.809716599190283,0.898785425101215,0.797570850202429,0.906882591093117,"sensitivity","training","STBBI"
"model6",0.854251012145749,0.809716599190283,0.894736842105263,0.801518218623482,0.902834008097166,"sensitivity","training","STBBI"
"model7",0.8582995951417,0.817813765182186,0.898785425101215,0.805668016194332,0.906882591093117,"sensitivity","training","STBBI"
"model8",0.8582995951417,0.813765182186235,0.898785425101215,0.805668016194332,0.906882591093117,"sensitivity","training","STBBI"
"model9",0.8582995951417,0.813765182186235,0.898785425101215,0.801619433198381,0.906882591093117,"sensitivity","training","STBBI"
"ref",0.854251012145749,0.805668016194332,0.898785425101215,0.797570850202429,0.906882591093117,"sensitivity","training","STBBI"
"model1",0.283018867924528,0.169811320754717,0.39622641509434,0.150943396226415,0.415094339622642,"specificity","training","STBBI"
"model2",0.320754716981132,0.207547169811321,0.433962264150943,0.169811320754717,0.452830188679245,"specificity","training","STBBI"
"model3",0.320754716981132,0.207547169811321,0.433962264150943,0.188679245283019,0.471698113207547,"specificity","training","STBBI"
"model4",0.320754716981132,0.226415094339623,0.452830188679245,0.188679245283019,0.471698113207547,"specificity","training","STBBI"
"model5",0.339622641509434,0.226415094339623,0.452830188679245,0.188679245283019,0.471698113207547,"specificity","training","STBBI"
"model6",0.339622641509434,0.226415094339623,0.452830188679245,0.207547169811321,0.471698113207547,"specificity","training","STBBI"
"model7",0.358490566037736,0.226415094339623,0.471698113207547,0.207547169811321,0.490566037735849,"specificity","training","STBBI"
"model8",0.339622641509434,0.244245283018868,0.452830188679245,0.207547169811321,0.490566037735849,"specificity","training","STBBI"
"model9",0.358490566037736,0.226415094339623,0.471698113207547,0.207547169811321,0.490566037735849,"specificity","training","STBBI"
"ref",0.320754716981132,0.207547169811321,0.452830188679245,0.188679245283019,0.471698113207547,"specificity","training","STBBI"
"model1",0.72893591016729,0.72893591016729,0.72893591016729,0.72893591016729,0.72893591016729,"auc","training","STBBI"
"model2",0.783095256282943,0.783095256282943,0.783095256282943,0.728477580016805,0.783095256282943,"auc","training","STBBI"
"model3",0.805400656939882,0.799671530058819,0.808150637842793,0.759032923382477,0.808150637842793,"auc","training","STBBI"
"model4",0.819303338171263,0.801920785272324,0.82720953326713,0.79466809258269,0.827438698342373,"auc","training","STBBI"
"model5",0.822931785195936,0.802073561989153,0.834008097165992,0.794815140172638,0.83469559239172,"auc","training","STBBI"
"model6",0.81934153235047,0.797948590634787,0.831949812848522,0.788316400580552,0.83378084179971,"auc","training","STBBI"
"model7",0.826407455503781,0.803032617829043,0.840157360018333,0.793558551676725,0.842601787487587,"auc","training","STBBI"
"model8",0.824765105797876,0.799972882132763,0.839783820945688,0.789357191963945,0.842219845695516,"auc","training","STBBI"
"model9",0.828202581926514,0.801538843480254,0.844244137193492,0.792681995263922,0.846919639446948,"auc","training","STBBI"
"ref",0.810174929340769,0.77372927965778,0.83232755328088,0.761731342143457,0.836379955694752,"auc","training","STBBI"
"model1",0.883720930232558,0.844961240310077,0.922480620155039,0.837209302325581,0.926356589147287,"sensitivity","training","HCV"
"model2",0.887596899224806,0.848624031007752,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model3",0.887596899224806,0.848624031007752,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model4",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model5",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model6",0.887596899224806,0.848837209302326,0.922480620155039,0.84108527131783,0.930232558139535,"sensitivity","training","HCV"
"model7",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"model8",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.93032945736434,"sensitivity","training","HCV"
"model9",0.887596899224806,0.848837209302326,0.922480620155039,0.837209302325581,0.930232558139535,"sensitivity","training","HCV"
"ref",0.887596899224806,0.848837209302326,0.922480620155039,0.84108527131783,0.926356589147287,"sensitivity","training","HCV"
"model1",0.285714285714286,0.166666666666667,0.428571428571429,0.142857142857143,0.476190476190476,"specificity","training","HCV"
"model2",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model3",0.30952380952381,0.19047619047619,0.428571428571429,0.142857142857143,0.476190476190476,"specificity","training","HCV"
"model4",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model5",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model6",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model7",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model8",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model9",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"ref",0.30952380952381,0.19047619047619,0.452380952380952,0.166666666666667,0.476190476190476,"specificity","training","HCV"
"model1",0.800664451827243,0.800664451827243,0.800664451827243,0.800664451827243,0.800664451827243,"auc","training","HCV"
"model2",0.83093392395718,0.770394979697305,0.836840162421558,0.764488741232927,0.836840162421558,"auc","training","HCV"
"model3",0.828303802141011,0.781607604282023,0.853405315614618,0.773025101513474,0.853405315614618,"auc","training","HCV"
"model4",0.84265411590993,0.78359173126615,0.852897748246585,0.774340162421558,0.853266888150609,"auc","training","HCV"
"model5",0.844592100406054,0.787918973791067,0.854656238464378,0.778679863418235,0.857142857142857,"auc","training","HCV"
"model6",0.835594315245478,0.789539036544851,0.8531284606866,0.778647563676633,0.854974160206718,"auc","training","HCV"
"model7",0.832641196013289,0.790651531930602,0.854430601698044,0.782156699889258,0.857558139534884,"auc","training","HCV"
"model8",0.834763750461425,0.790508028792912,0.856599298634182,0.779415836101883,0.859918327796235,"auc","training","HCV"
"model9",0.831533776301218,0.785483573274271,0.856450719822813,0.775050756736803,0.860326688815061,"auc","training","HCV"
"ref",0.827519379844961,0.788205980066445,0.854563953488372,0.780721668512366,0.859274640088594,"auc","training","HCV"
"model1",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model2",0.957894736842105,0.929824561403509,0.978947368421053,0.919298245614035,0.982456140350877,"sensitivity","training","HIV/S"
"model3",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model4",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model5",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model6",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model7",0.957894736842105,0.933140350877193,0.978947368421053,0.926315789473684,0.982456140350877,"sensitivity","training","HIV/S"
"model8",0.957894736842105,0.933333333333333,0.978947368421053,0.926315789473684,0.985964912280702,"sensitivity","training","HIV/S"
"model9",0.957894736842105,0.933333333333333,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"ref",0.957894736842105,0.929824561403509,0.978947368421053,0.92280701754386,0.982456140350877,"sensitivity","training","HIV/S"
"model1",0.133333333333333,0,0.333333333333333,0,0.4,"specificity","training","HIV/S"
"model2",0.2,0,0.333333333333333,0,0.4,"specificity","training","HIV/S"
"model3",0.2,0.0666666666666667,0.4,0,0.466666666666667,"specificity","training","HIV/S"
"model4",0.2,0.0666666666666667,0.4,0,0.466666666666667,"specificity","training","HIV/S"
"model5",0.2,0.0666666666666667,0.4,0,0.466666666666667,"specificity","training","HIV/S"
"model6",0.2,0.0666666666666667,0.4,0,0.466666666666667,"specificity","training","HIV/S"
"model7",0.2,0.0666666666666667,0.4,0,0.466666666666667,"specificity","training","HIV/S"
"model8",0.2,0.0666666666666667,0.4,0.0666666666666667,0.466666666666667,"specificity","training","HIV/S"
"model9",0.2,0.0666666666666667,0.4,0,0.466666666666667,"specificity","training","HIV/S"
"ref",0.2,0.0666666666666667,0.4,0,0.466666666666667,"specificity","training","HIV/S"
"model1",0.787719298245614,0.787719298245614,0.787719298245614,0.787719298245614,0.787719298245614,"auc","training","HIV/S"
"model2",0.82,0.734853801169591,0.842690058479532,0.734152046783626,0.844093567251462,"auc","training","HIV/S"
"model3",0.854619883040936,0.756842105263158,0.880584795321637,0.732970760233918,0.884093567251462,"auc","training","HIV/S"
"model4",0.849005847953216,0.762222222222222,0.885263157894737,0.736690058479532,0.892052631578947,"auc","training","HIV/S"
"model5",0.854736842105263,0.776114619883041,0.897777777777778,0.752748538011696,0.902456140350877,"auc","training","HIV/S"
"model6",0.863859649122807,0.776140350877193,0.916971929824561,0.751573099415205,0.922573099415205,"auc","training","HIV/S"
"model7",0.872982456140351,0.781156725146199,0.918713450292398,0.753771929824561,0.924801169590643,"auc","training","HIV/S"
"model8",0.879415204678363,0.797998830409357,0.921520467836257,0.769239766081871,0.926198830409357,"auc","training","HIV/S"
"model9",0.867953216374269,0.781611695906433,0.918011695906433,0.756842105263158,0.923865497076023,"auc","training","HIV/S"
"ref",0.836608187134503,0.763963742690059,0.902702923976608,0.745479532163743,0.916035087719298,"auc","training","HIV/S"
"model1",0.868932038834951,0.810679611650485,0.912621359223301,0.796116504854369,0.922330097087379,"sensitivity","training","cc"
"model2",0.87378640776699,0.825242718446602,0.91747572815534,0.810679611650485,0.927184466019418,"sensitivity","training","cc"
"model3",0.878640776699029,0.830097087378641,0.91747572815534,0.820388349514563,0.927184466019418,"sensitivity","training","cc"
"model4",0.878640776699029,0.830097087378641,0.91747572815534,0.815533980582524,0.927184466019418,"sensitivity","training","cc"
"model5",0.878640776699029,0.830097087378641,0.922330097087379,0.820388349514563,0.927184466019418,"sensitivity","training","cc"
"model6",0.883495145631068,0.83495145631068,0.922330097087379,0.825242718446602,0.932038834951456,"sensitivity","training","cc"
"model7",0.883495145631068,0.83495145631068,0.922330097087379,0.825242718446602,0.927305825242718,"sensitivity","training","cc"
"model8",0.883495145631068,0.839805825242718,0.927184466019418,0.830097087378641,0.932160194174757,"sensitivity","training","cc"
"model9",0.888349514563107,0.844660194174757,0.927184466019418,0.830097087378641,0.932038834951456,"sensitivity","training","cc"
"ref",0.888349514563107,0.844660194174757,0.927184466019418,0.83495145631068,0.936893203883495,"sensitivity","training","cc"
"model1",0.25,0.111111111111111,0.361111111111111,0.0833333333333333,0.388888888888889,"specificity","training","cc"
"model2",0.277777777777778,0.166666666666667,0.416666666666667,0.138888888888889,0.444444444444444,"specificity","training","cc"
"model3",0.305555555555556,0.166666666666667,0.444444444444444,0.138888888888889,0.472222222222222,"specificity","training","cc"
"model4",0.305555555555556,0.194444444444444,0.444444444444444,0.165972222222222,0.472222222222222,"specificity","training","cc"
"model5",0.305555555555556,0.166666666666667,0.444444444444444,0.138888888888889,0.472222222222222,"specificity","training","cc"
"model6",0.333333333333333,0.194444444444444,0.472222222222222,0.166666666666667,0.5,"specificity","training","cc"
"model7",0.333333333333333,0.194444444444444,0.444444444444444,0.166666666666667,0.472222222222222,"specificity","training","cc"
"model8",0.361111111111111,0.222222222222222,0.5,0.194444444444444,0.527777777777778,"specificity","training","cc"
"model9",0.361111111111111,0.222222222222222,0.5,0.194444444444444,0.527777777777778,"specificity","training","cc"
"ref",0.361111111111111,0.222222222222222,0.5,0.194444444444444,0.555555555555556,"specificity","training","cc"
"model1",0.655339805825243,0.611380798274002,0.655339805825243,0.611380798274002,0.655339805825243,"auc","training","cc"
"model2",0.773327939590076,0.713187702265372,0.778991370010787,0.713187702265372,0.778991370010787,"auc","training","cc"
"model3",0.807241100323625,0.743460086299892,0.816140776699029,0.713524811218986,0.816140776699029,"auc","training","cc"
"model4",0.815533980582524,0.769012944983819,0.827130528586839,0.752120415318231,0.829018338727077,"auc","training","cc"
"model5",0.814522653721683,0.770016855447681,0.828950916936354,0.751281014023732,0.830707254584682,"auc","training","cc"
"model6",0.844053398058252,0.810477346278317,0.860639158576052,0.800360706580367,0.86279665587918,"auc","training","cc"
"model7",0.84277238403452,0.809451186623517,0.859223300970874,0.796379449838188,0.861785329018339,"auc","training","cc"
"model8",0.853357605177994,0.81883764832794,0.871426645091694,0.809398597626753,0.873584142394822,"auc","training","cc"
"model9",0.855043149946063,0.823617179072276,0.873247033441208,0.814320388349515,0.87621359223301,"auc","training","cc"
"ref",0.856189320388349,0.816530474649407,0.881135382955771,0.803994741100324,0.885854908306365,"auc","training","cc"
"model1",0.85,0.775,0.9125,0.75,0.925,"sensitivity","testing","STBBI"
"model2",0.85,0.775,0.9125,0.7625,0.925,"sensitivity","testing","STBBI"
"model3",0.85,0.7868125,0.9125,0.7625,0.925,"sensitivity","testing","STBBI"
"model4",0.8625,0.7875,0.9125,0.775,0.925,"sensitivity","testing","STBBI"
"model5",0.8625,0.7875,0.9125,0.775,0.925,"sensitivity","testing","STBBI"
"model6",0.8625,0.7875,0.9125,0.775,0.925,"sensitivity","testing","STBBI"
"model7",0.8625,0.8,0.925,0.775,0.9375,"sensitivity","testing","STBBI"
"model8",0.8625,0.8,0.925,0.775,0.925,"sensitivity","testing","STBBI"
"model9",0.8625,0.8,0.925,0.775,0.925,"sensitivity","testing","STBBI"
"ref",0.85,0.7875,0.9125,0.775,0.925,"sensitivity","testing","STBBI"
"model1",0.35,0.15,0.5,0.15,0.55,"specificity","testing","STBBI"
"model2",0.35,0.2,0.55,0.15,0.6,"specificity","testing","STBBI"
"model3",0.35,0.15,0.55,0.15,0.55,"specificity","testing","STBBI"
"model4",0.35,0.2,0.55,0.15,0.6,"specificity","testing","STBBI"
"model5",0.35,0.2,0.55,0.15,0.6,"specificity","testing","STBBI"
"model6",0.35,0.2,0.55,0.15,0.6,"specificity","testing","STBBI"
"model7",0.35,0.2,0.55,0.15,0.6,"specificity","testing","STBBI"
"model8",0.35,0.2,0.55,0.15,0.6,"specificity","testing","STBBI"
"model9",0.35,0.2,0.55,0.15,0.6,"specificity","testing","STBBI"
"ref",0.35,0.2,0.55,0.15,0.6,"specificity","testing","STBBI"
"model1",0.8125,0.8125,0.8125,0.8125,0.8125,"auc","testing","STBBI"
"model2",0.858125,0.858125,0.858125,0.766875,0.858125,"auc","testing","STBBI"
"model3",0.8425,0.801875,0.85875,0.791875,0.85875,"auc","testing","STBBI"
"model4",0.8559375,0.8146875,0.8771875,0.8059375,0.8778125,"auc","testing","STBBI"
"model5",0.861875,0.825,0.88125,0.813109375,0.883125,"auc","testing","STBBI"
"model6",0.8709375,0.826528125,0.9021875,0.8146875,0.9078125,"auc","testing","STBBI"
"model7",0.8671875,0.8196875,0.8996875,0.8053125,0.905328125,"auc","testing","STBBI"
"model8",0.865625,0.82,0.9025,0.805,0.908140625,"auc","testing","STBBI"
"model9",0.8615625,0.8153125,0.8965625,0.8015625,0.9028125,"auc","testing","STBBI"
"ref",0.8575,0.796215625,0.900625,0.779375,0.90875,"auc","testing","STBBI"
"model1",0.878048780487805,0.817073170731707,0.939024390243902,0.804878048780488,0.939024390243902,"sensitivity","testing","HCV"
"model2",0.890243902439024,0.82859756097561,0.939024390243902,0.804878048780488,0.951219512195122,"sensitivity","testing","HCV"
"model3",0.878048780487805,0.817073170731707,0.939024390243902,0.804878048780488,0.951219512195122,"sensitivity","testing","HCV"
"model4",0.890243902439024,0.829268292682927,0.939024390243902,0.817073170731707,0.951219512195122,"sensitivity","testing","HCV"
"model5",0.890243902439024,0.829268292682927,0.939024390243902,0.817073170731707,0.951219512195122,"sensitivity","testing","HCV"
"model6",0.890243902439024,0.829268292682927,0.939024390243902,0.804878048780488,0.951219512195122,"sensitivity","testing","HCV"
"model7",0.890243902439024,0.829268292682927,0.939024390243902,0.804878048780488,0.951219512195122,"sensitivity","testing","HCV"
"model8",0.890243902439024,0.82859756097561,0.939024390243902,0.804878048780488,0.951219512195122,"sensitivity","testing","HCV"
"model9",0.890243902439024,0.829268292682927,0.939024390243902,0.817073170731707,0.951219512195122,"sensitivity","testing","HCV"
"ref",0.890243902439024,0.829268292682927,0.939024390243902,0.804878048780488,0.951219512195122,"sensitivity","testing","HCV"
"model1",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.556944444444437,"specificity","testing","HCV"
"model2",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"model3",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"model4",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"model5",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"model6",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"model7",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"model8",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"model9",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"ref",0.333333333333333,0.166666666666667,0.555555555555556,0.111111111111111,0.611111111111111,"specificity","testing","HCV"
"model1",0.865853658536585,0.865853658536585,0.865853658536585,0.865853658536585,0.865853658536585,"auc","testing","HCV"
"model2",0.903794037940379,0.814363143631436,0.917344173441734,0.814363143631436,0.917344173441734,"auc","testing","HCV"
"model3",0.869579945799458,0.81470189701897,0.9170054200542,0.814024390243902,0.917022357723577,"auc","testing","HCV"
"model4",0.888211382113821,0.821138211382114,0.915989159891599,0.815718157181572,0.918021680216802,"auc","testing","HCV"
"model5",0.885162601626016,0.828214769647696,0.913617886178862,0.818766937669377,0.919037940379404,"auc","testing","HCV"
"model6",0.876355013550135,0.82079945799458,0.917005420054201,0.809959349593496,0.92310298102981,"auc","testing","HCV"
"model7",0.875,0.815379403794038,0.927205284552845,0.805216802168022,0.935315040650406,"auc","testing","HCV"
"model8",0.876693766937669,0.819105691056911,0.925511517615176,0.807588075880759,0.93360433604336,"auc","testing","HCV"
"model9",0.877710027100271,0.821476964769648,0.924457994579946,0.811297425474255,0.933265582655827,"auc","testing","HCV"
"ref",0.874661246612466,0.820460704607046,0.92479674796748,0.808943089430894,0.934298780487805,"auc","testing","HCV"
"model1",0.948453608247423,0.907216494845361,0.989690721649485,0.896907216494845,0.989690721649485,"sensitivity","testing","HIV/S"
"model2",0.948453608247423,0.907216494845361,0.979381443298969,0.896907216494845,0.989690721649485,"sensitivity","testing","HIV/S"
"model3",0.958762886597938,0.907216494845361,0.989690721649485,0.896907216494845,0.989690721649485,"sensitivity","testing","HIV/S"
"model4",0.948453608247423,0.907216494845361,0.989690721649485,0.896907216494845,0.989690721649485,"sensitivity","testing","HIV/S"
"model5",0.948453608247423,0.907216494845361,0.989690721649485,0.896907216494845,0.989690721649485,"sensitivity","testing","HIV/S"
"model6",0.958762886597938,0.907216494845361,0.989690721649485,0.896907216494845,0.989690721649485,"sensitivity","testing","HIV/S"
"model7",0.958762886597938,0.917525773195876,0.989690721649485,0.896907216494845,0.989690721649485,"sensitivity","testing","HIV/S"
"model8",0.958762886597938,0.917525773195876,0.989690721649485,0.907216494845361,0.989690721649485,"sensitivity","testing","HIV/S"
"model9",0.958762886597938,0.917525773195876,0.989690721649485,0.907216494845361,0.989690721649485,"sensitivity","testing","HIV/S"
"ref",0.948453608247423,0.907216494845361,0.989690721649485,0.896907216494845,0.989690721649485,"sensitivity","testing","HIV/S"
"model1",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model2",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model3",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model4",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model5",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model6",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model7",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model8",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model9",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"ref",0,0,0.666666666666667,0,0.666666666666667,"specificity","testing","HIV/S"
"model1",0.776632302405498,0.776632302405498,0.776632302405498,0.776632302405498,0.776632302405498,"auc","testing","HIV/S"
"model2",0.84020618556701,0.651202749140893,0.902061855670103,0.651202749140893,0.912371134020619,"auc","testing","HIV/S"
"model3",0.857388316151203,0.668384879725086,0.90893470790378,0.651116838487972,0.919243986254295,"auc","testing","HIV/S"
"model4",0.879725085910653,0.683848797250859,0.93127147766323,0.652920962199313,0.938144329896907,"auc","testing","HIV/S"
"model5",0.88659793814433,0.694158075601375,0.934707903780069,0.663230240549828,0.941580756013746,"auc","testing","HIV/S"
"model6",0.898625429553265,0.733676975945017,0.946735395189003,0.68213058419244,0.95360824742268,"auc","testing","HIV/S"
"model7",0.90893470790378,0.761168384879725,0.960481099656357,0.709621993127148,0.970790378006873,"auc","testing","HIV/S"
"model8",0.883161512027491,0.718213058419244,0.9553264604811,0.673539518900344,0.962285223367697,"auc","testing","HIV/S"
"model9",0.879725085910653,0.711340206185567,0.948453608247423,0.666666666666667,0.958762886597938,"auc","testing","HIV/S"
"ref",0.862542955326461,0.673539518900344,0.945017182130584,0.639175257731959,0.958762886597938,"auc","testing","HIV/S"
"model1",0.876923076923077,0.8,0.938461538461538,0.769230769230769,0.953846153846154,"sensitivity","testing","cc"
"model2",0.876923076923077,0.815384615384615,0.938461538461538,0.784615384615385,0.953846153846154,"sensitivity","testing","cc"
"model3",0.876923076923077,0.815384615384615,0.938461538461538,0.784615384615385,0.953846153846154,"sensitivity","testing","cc"
"model4",0.892307692307692,0.815384615384615,0.938461538461538,0.8,0.953846153846154,"sensitivity","testing","cc"
"model5",0.892307692307692,0.815384615384615,0.938461538461538,0.8,0.953846153846154,"sensitivity","testing","cc"
"model6",0.876923076923077,0.815384615384615,0.938461538461538,0.784615384615385,0.953846153846154,"sensitivity","testing","cc"
"model7",0.876923076923077,0.815384615384615,0.938461538461538,0.8,0.953846153846154,"sensitivity","testing","cc"
"model8",0.876923076923077,0.815384615384615,0.938461538461538,0.784615384615385,0.953846153846154,"sensitivity","testing","cc"
"model9",0.876923076923077,0.815384615384615,0.938461538461538,0.784615384615385,0.953846153846154,"sensitivity","testing","cc"
"ref",0.876923076923077,0.8,0.938461538461538,0.784615384615385,0.953846153846154,"sensitivity","testing","cc"
"model1",0.1875,0.0625,0.375,0.0625,0.375,"specificity","testing","cc"
"model2",0.25,0.125,0.5,0.0625,0.5,"specificity","testing","cc"
"model3",0.25,0.125,0.5,0.0625,0.5,"specificity","testing","cc"
"model4",0.25,0.125,0.4375,0.0625,0.5,"specificity","testing","cc"
"model5",0.25,0.125,0.4375,0.0625,0.5,"specificity","testing","cc"
"model6",0.3125,0.125,0.5,0.0625,0.5625,"specificity","testing","cc"
"model7",0.25,0.125,0.5,0.0625,0.5,"specificity","testing","cc"
"model8",0.3125,0.125,0.5,0.0625,0.5625,"specificity","testing","cc"
"model9",0.3125,0.125,0.5,0.125,0.5625,"specificity","testing","cc"
"ref",0.3125,0.125,0.5,0.125,0.5625,"specificity","testing","cc"
"model1",0.695673076923077,0.538942307692308,0.695673076923077,0.538942307692308,0.695673076923077,"auc","testing","cc"
"model2",0.883653846153846,0.776923076923077,0.883653846153846,0.776923076923077,0.883725961538461,"auc","testing","cc"
"model3",0.874519230769231,0.777403846153846,0.901442307692308,0.759134615384615,0.904326923076923,"auc","testing","cc"
"model4",0.860576923076923,0.769177884615385,0.891346153846154,0.728846153846154,0.900961538461538,"auc","testing","cc"
"model5",0.850480769230769,0.769658653846154,0.890865384615385,0.749495192307692,0.899519230769231,"auc","testing","cc"
"model6",0.820673076923077,0.752403846153846,0.870673076923077,0.729326923076923,0.877403846153846,"auc","testing","cc"
"model7",0.816346153846154,0.747115384615385,0.869230769230769,0.722091346153846,0.876947115384615,"auc","testing","cc"
"model8",0.803846153846154,0.7375,0.854807692307692,0.723076923076923,0.868269230769231,"auc","testing","cc"
"model9",0.813461538461538,0.7533125,0.859134615384615,0.735072115384615,0.870673076923077,"auc","testing","cc"
"ref",0.783173076923077,0.702403846153846,0.852403846153846,0.680264423076923,0.86875,"auc","testing","cc"
