model,Q50,Q5.5,Q94.5,Q2.5,Q97.5,performance,data,outcome
model3,0.815681561,0.73593043,0.828832014,0.725608032,0.829539027,auc,training,cc
model4,0.808682127,0.737399604,0.829609729,0.72680642,0.830316742,auc,training,cc
model5,0.826781674,0.769937783,0.842335973,0.749140979,0.843608597,auc,training,cc
model6,0.836538462,0.78959276,0.85675905,0.770072115,0.85888009,auc,training,cc
model7,0.834205317,0.795178167,0.857253959,0.782165583,0.860223416,auc,training,cc
model8,0.842760181,0.804715074,0.862705741,0.785485011,0.866377969,auc,training,cc
model9,0.845729638,0.80923996,0.863404977,0.796090215,0.866798643,auc,training,cc
ref,0.840073529,0.792130232,0.867788462,0.778701216,0.871751273,auc,training,cc
model1,0.879518072,0.807228916,0.927710843,0.78313253,0.939759036,sensitivity,testing,STBBI
model2,0.879518072,0.807228916,0.927710843,0.795180723,0.939759036,sensitivity,testing,STBBI
model3,0.879518072,0.807228916,0.927710843,0.795180723,0.939759036,sensitivity,testing,STBBI
model4,0.879518072,0.819277108,0.927710843,0.795180723,0.939759036,sensitivity,testing,STBBI
model5,0.879518072,0.819277108,0.927710843,0.795180723,0.939759036,sensitivity,testing,STBBI
model6,0.879518072,0.807228916,0.927710843,0.795180723,0.939759036,sensitivity,testing,STBBI
model7,0.879518072,0.818614458,0.927710843,0.795180723,0.939759036,sensitivity,testing,STBBI
model8,0.879518072,0.819277108,0.927710843,0.795180723,0.939759036,sensitivity,testing,STBBI
model9,0.879518072,0.807228916,0.927710843,0.795180723,0.939759036,sensitivity,testing,STBBI
ref,0.879518072,0.807228916,0.939759036,0.795180723,0.939759036,sensitivity,testing,STBBI
model1,0.294117647,0.117647059,0.529411765,0.117647059,0.588235294,specificity,testing,STBBI
model2,0.352941176,0.176470588,0.529411765,0.117647059,0.588235294,specificity,testing,STBBI
model3,0.352941176,0.176470588,0.588235294,0.176470588,0.647058824,specificity,testing,STBBI
model4,0.411764706,0.176470588,0.588235294,0.176470588,0.647058824,specificity,testing,STBBI
model5,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,STBBI
model6,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,STBBI
model7,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,STBBI
model8,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,STBBI
model9,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,STBBI
ref,0.352941176,0.176470588,0.588235294,0.176470588,0.589705882,specificity,testing,STBBI
model1,0.868887314,0.868887314,0.868887314,0.868887314,0.868887314,auc,testing,STBBI
model2,0.876328845,0.851523742,0.883416017,0.846562721,0.883416017,auc,testing,STBBI
model3,0.884833451,0.856445783,0.903260099,0.845854004,0.906112686,auc,testing,STBBI
model4,0.883416017,0.855028349,0.906803685,0.845854004,0.91318214,auc,testing,STBBI
model5,0.889085755,0.858610914,0.911055989,0.851523742,0.918143161,auc,testing,STBBI
model6,0.886605245,0.849004252,0.91070163,0.839121191,0.915662651,auc,testing,STBBI
model7,0.889794472,0.851523742,0.915308292,0.8422927,0.919560595,auc,testing,STBBI
model8,0.890857548,0.85467399,0.91570163,0.84195606,0.920623671,auc,testing,STBBI
model9,0.889440113,0.848334515,0.915662651,0.836286322,0.919914954,auc,testing,STBBI
ref,0.888731396,0.843373494,0.919206237,0.826346563,0.924184975,auc,testing,STBBI
model1,0.928571429,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model2,0.928571429,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model3,0.928571429,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model4,0.916666667,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model5,0.916666667,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model6,0.916666667,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model7,0.922619048,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model8,0.916666667,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model9,0.928571429,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
ref,0.928571429,0.869047619,0.964285714,0.857142857,0.976190476,sensitivity,testing,HCV
model1,0.3125,0.125,0.5,0.125,0.5625,specificity,testing,HCV
model2,0.375,0.1875,0.5625,0.125,0.625,specificity,testing,HCV
model3,0.375,0.1875,0.5625,0.125,0.625,specificity,testing,HCV
model4,0.34375,0.125,0.5625,0.125,0.625,specificity,testing,HCV
model5,0.3125,0.125,0.5625,0.125,0.625,specificity,testing,HCV
model6,0.3125,0.125,0.5625,0.125,0.625,specificity,testing,HCV
model7,0.3125,0.1875,0.5625,0.125,0.625,specificity,testing,HCV
model8,0.3125,0.125,0.5625,0.125,0.625,specificity,testing,HCV
model9,0.3125,0.125,0.5625,0.125,0.5625,specificity,testing,HCV
ref,0.3125,0.125,0.5625,0.125,0.5625,specificity,testing,HCV
model1,0.897321429,0.897321429,0.897321429,0.897321429,0.897321429,auc,testing,HCV
model2,0.908482143,0.87797619,0.916666667,0.875,0.919642857,auc,testing,HCV
model3,0.912574405,0.884300595,0.928199405,0.87983631,0.928199405,auc,testing,HCV
model4,0.9140625,0.887276786,0.931175595,0.880580357,0.931919643,auc,testing,HCV
model5,0.912574405,0.887235863,0.930431548,0.881305804,0.933407738,auc,testing,HCV
model6,0.90922619,0.879464286,0.933035714,0.871279762,0.936755952,auc,testing,HCV
model7,0.907738095,0.876488095,0.933779762,0.869029018,0.9375,auc,testing,HCV
model8,0.906622024,0.874627976,0.93266369,0.869401042,0.936383929,auc,testing,HCV
model9,0.907366071,0.876116071,0.934895833,0.868675595,0.939360119,auc,testing,HCV
ref,0.907738095,0.87797619,0.935267857,0.871261161,0.938988095,auc,testing,HCV
model1,0.948979592,0.908163265,0.979591837,0.897959184,0.989795918,sensitivity,testing,HIV/S
model2,0.948979592,0.908163265,0.989795918,0.897959184,0.989795918,sensitivity,testing,HIV/S
model3,0.959183673,0.908163265,0.989795918,0.897959184,0.989795918,sensitivity,testing,HIV/S
model4,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV/S
model5,0.959183673,0.917806122,0.989795918,0.897959184,0.989795918,sensitivity,testing,HIV/S
model6,0.959183673,0.918367347,0.989795918,0.897959184,0.989795918,sensitivity,testing,HIV/S
model7,0.959183673,0.908163265,0.989795918,0.897959184,0.989795918,sensitivity,testing,HIV/S
model8,0.948979592,0.908163265,0.989795918,0.897959184,0.989795918,sensitivity,testing,HIV/S
model9,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV/S
ref,0.959183673,0.918367347,0.989795918,0.897959184,0.989795918,sensitivity,testing,HIV/S
model1,0,0,0.5,0,0.5,specificity,testing,HIV/S
model2,0,0,0.5,0,0.5,specificity,testing,HIV/S
model3,0,0,0.5,0,0.5,specificity,testing,HIV/S
model4,0,0,0.5,0,0.5,specificity,testing,HIV/S
model5,0,0,0.5,0,0.5,specificity,testing,HIV/S
model6,0,0,0.5,0,0.5,specificity,testing,HIV/S
model7,0,0,0.5,0,0.5,specificity,testing,HIV/S
model8,0,0,0.5,0,0.5,specificity,testing,HIV/S
model9,0,0,0.5,0,0.5,specificity,testing,HIV/S
ref,0,0,0.5,0,0.5,specificity,testing,HIV/S
model1,0.693877551,0.693877551,0.693877551,0.693877551,0.693877551,auc,testing,HIV/S
model2,0.869897959,0.512755102,0.875,0.512755102,0.895408163,auc,testing,HIV/S
model3,0.846938776,0.540816327,0.897959184,0.494897959,0.903061224,auc,testing,HIV/S
model4,0.864795918,0.543367347,0.915816327,0.49744898,0.926020408,auc,testing,HIV/S
model5,0.864795918,0.56377551,0.920918367,0.517857143,0.931122449,auc,testing,HIV/S
model6,0.859693878,0.568877551,0.920918367,0.528061224,0.926020408,auc,testing,HIV/S
model7,0.849489796,0.553571429,0.915816327,0.512627551,0.926020408,auc,testing,HIV/S
model8,0.867346939,0.596938776,0.943877551,0.525510204,0.954081633,auc,testing,HIV/S
model9,0.885204082,0.594107143,0.946428571,0.533163265,0.956632653,auc,testing,HIV/S
ref,0.831632653,0.525510204,0.93877551,0.494897959,0.954081633,auc,testing,HIV/S
model1,0.891566265,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model2,0.891566265,0.819277108,0.939759036,0.795180723,0.951807229,sensitivity,testing,HIV/HCV
model3,0.891566265,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model4,0.891566265,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model5,0.879518072,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model6,0.879518072,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model7,0.879518072,0.819277108,0.939759036,0.807228916,0.939759036,sensitivity,testing,HIV/HCV
model8,0.879518072,0.819277108,0.939759036,0.807228916,0.939759036,sensitivity,testing,HIV/HCV
model9,0.879518072,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
ref,0.891566265,0.819277108,0.939759036,0.807228916,0.951807229,sensitivity,testing,HIV/HCV
model1,0.294117647,0.117647059,0.529411765,0.117647059,0.588235294,specificity,testing,HIV/HCV
model2,0.352941176,0.176470588,0.529411765,0.117647059,0.588235294,specificity,testing,HIV/HCV
model3,0.411764706,0.176470588,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model4,0.411764706,0.176470588,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model5,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model6,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model7,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model8,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
model9,0.411764706,0.235294118,0.588235294,0.176470588,0.647058824,specificity,testing,HIV/HCV
ref,0.411764706,0.176470588,0.588235294,0.117647059,0.647058824,specificity,testing,HIV/HCV
model1,0.868887314,0.868887314,0.868887314,0.868887314,0.868887314,auc,testing,HIV/HCV
model2,0.876328845,0.852232459,0.883416017,0.846562721,0.883416017,auc,testing,HIV/HCV
model3,0.88766832,0.856484763,0.905386251,0.847253721,0.907512403,auc,testing,HIV/HCV
model4,0.891920624,0.8621545,0.908929837,0.852941176,0.911764706,auc,testing,HIV/HCV
model5,0.891920624,0.854319631,0.912473423,0.838749114,0.916017009,auc,testing,HIV/HCV
model6,0.890148831,0.853295535,0.912119064,0.837686038,0.917097803,auc,testing,HIV/HCV
model7,0.892629341,0.854358611,0.916764706,0.841601701,0.920269313,auc,testing,HIV/HCV
model8,0.891920624,0.850106308,0.916017009,0.838040397,0.919560595,auc,testing,HIV/HCV
model9,0.892274982,0.851169383,0.917080085,0.831289865,0.921332388,auc,testing,HIV/HCV
ref,0.8929837,0.849043232,0.919953933,0.830598866,0.925584692,auc,testing,HIV/HCV
model1,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model2,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model3,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model4,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model5,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model6,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model7,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model8,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model9,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
ref,0.959183673,0.918367347,0.989795918,0.908163265,0.989795918,sensitivity,testing,HIV
model1,0,0,0.5,0,0.5,specificity,testing,HIV
model2,0,0,0.5,0,0.5,specificity,testing,HIV
model3,0,0,0.5,0,0.5,specificity,testing,HIV
model4,0,0,0.5,0,0.5,specificity,testing,HIV
model5,0,0,0.5,0,0.5,specificity,testing,HIV
model6,0,0,0.5,0,0.5,specificity,testing,HIV
model7,0,0,0.5,0,0.5,specificity,testing,HIV
model8,0,0,0.5,0,0.5,specificity,testing,HIV
model9,0,0,0.5,0,0.5,specificity,testing,HIV
ref,0,0,0.5,0,0.5,specificity,testing,HIV
model1,0.693877551,0.693877551,0.693877551,0.693877551,0.693877551,auc,testing,HIV
model2,0.869897959,0.512755102,0.875,0.512755102,0.895408163,auc,testing,HIV
model3,0.869897959,0.553571429,0.910714286,0.49744898,0.915816327,auc,testing,HIV
model4,0.87244898,0.545918367,0.928571429,0.515306122,0.933673469,auc,testing,HIV
model5,0.844387755,0.543367347,0.926020408,0.50255102,0.93622449,auc,testing,HIV
model6,0.87244898,0.571428571,0.948979592,0.505102041,0.959183673,auc,testing,HIV
model7,0.87244898,0.56122449,0.954081633,0.515178571,0.964285714,auc,testing,HIV
model8,0.882653061,0.591556122,0.954081633,0.515306122,0.964285714,auc,testing,HIV
model9,0.887755102,0.602040816,0.954081633,0.530612245,0.964285714,auc,testing,HIV
ref,0.846938776,0.545918367,0.948979592,0.494897959,0.964285714,auc,testing,HIV
model1,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model2,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model3,0.888888889,0.825396825,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model4,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model5,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model6,0.888888889,0.80952381,0.952380952,0.793650794,0.952380952,sensitivity,testing,cc
model7,0.888888889,0.80952381,0.952380952,0.793650794,0.968253968,sensitivity,testing,cc
model8,0.873015873,0.80952381,0.936507937,0.793650794,0.952380952,sensitivity,testing,cc
model9,0.888888889,0.80952381,0.952380952,0.777777778,0.952380952,sensitivity,testing,cc
ref,0.873015873,0.793650794,0.936507937,0.777777778,0.952380952,sensitivity,testing,cc
model1,0.222222222,0.111111111,0.444444444,0.055555556,0.444444444,specificity,testing,cc
model2,0.222222222,0.055555556,0.388888889,0.055555556,0.444444444,specificity,testing,cc
model3,0.277777778,0.111111111,0.444444444,0.055555556,0.5,specificity,testing,cc
model4,0.277777778,0.111111111,0.444444444,0.055555556,0.5,specificity,testing,cc
model5,0.277777778,0.111111111,0.444444444,0.055555556,0.5,specificity,testing,cc
model6,0.277777778,0.111111111,0.444444444,0.055555556,0.5,specificity,testing,cc
model7,0.277777778,0.111111111,0.444444444,0.111111111,0.5,specificity,testing,cc
model8,0.277777778,0.111111111,0.444444444,0.111111111,0.5,specificity,testing,cc
model9,0.277777778,0.111111111,0.5,0.111111111,0.5,specificity,testing,cc
ref,0.277777778,0.111111111,0.5,0.111111111,0.5,specificity,testing,cc
model1,0.75,0.75,0.75,0.75,0.75,auc,testing,cc
model2,0.725308642,0.704144621,0.774691358,0.704144621,0.774691358,auc,testing,cc
model3,0.778218695,0.67680776,0.824955908,0.667107584,0.83377425,auc,testing,cc
model4,0.779100529,0.681216931,0.831128748,0.668871252,0.835537919,auc,testing,cc
model5,0.778659612,0.708946208,0.814814815,0.685185185,0.822773369,auc,testing,cc
model6,0.777777778,0.718694885,0.820987654,0.697530864,0.832451499,auc,testing,cc
model7,0.78968254,0.719135802,0.836419753,0.703218695,0.845260141,auc,testing,cc
model8,0.806878307,0.734567901,0.851851852,0.708090829,0.85978836,auc,testing,cc
model9,0.810405644,0.74069224,0.856309524,0.71957672,0.865079365,auc,testing,cc
ref,0.787477954,0.69664903,0.850088183,0.676366843,0.859810406,auc,testing,cc
